ID,X,Y,Z
101,0,0,-0.000000516
102,0,-0.00000093,-0.000001295
103,0,0.000002483,-0.000002074
104,0,-0.000014629,-0.000001454
105,0,-0.000000614,-0.000000636
106,0,0,-0.0000079
107,0,0,-0.000000362
108,0,-0.000000362,-0.000001189
109,0,-0.000001982,-0.000001313
110,0,0.0000032,-0.000006287
111,0,-0.000006946,-0.000007618
112,-0.000001711,0,-0.000006762
113,0,-0.000000102,-0.000000134
114,0,0.000000429,-0.000001049
115,0,-0.00000051,-0.000002157
116,0,0.000000222,-0.00000226
117,0,0.000005536,-0.000005667
118,0,0.000004361,-0.000006453
119,0,0,-0.000002685
120,0,0.000001142,-0.000000546
121,0,0.000001441,-0.000000924
122,0,0.000001077,-0.000003318
123,0,0.000001402,-0.000001273
124,0,0.000001569,-0.000001058
125,0,0,-0.000003648
126,0,-0.0000004,0.000000254
127,0,-0.000001927,0.000000622
128,0.000001273,0,-0.000000897
129,0,-0.000002104,-0.000005652
130,0,-0.000006321,-0.000002337
131,0,0,-0.000005869
132,0,0.000003184,-0.00000156
133,0,-0.000008789,-0.000004378
134,0,0.000009269,0.000004699
135,0.000000261,0,-0.000007404
136,0,0,-0.000003853
137,0,0.000003027,-0.000003017
138,0,0.000000125,0.000003246
139,0,0,-0.000007789
140,0,0,-0.000002707
141,0,0,0.000000329
142,0,0,-0.000003848
143,0,0,0.000001605
207,0,0,0.000000343
208,0,0.000000469,0.000001033
209,0,0.000001905,0.000001394
210,0,-0.000001342,0.000005246
211,0,0.000005018,0.000007308
212,-0.000000824,0,0.00000673
214,0,0.000000539,0.000000662
215,0,0.000000204,0.000002248
216,0,0.000000309,0.000002902
217,0,-0.000003949,0.000005269
218,0,-0.00000488,0.000004767
219,0,0,0.000003174
220,0,0.000001008,0.000000519
221,0,-0.000000956,0.000001362
222,0,-0.000001232,0.00000247
223,0,-0.000004397,0.00000383
224,0,0.000001855,0.00000108
225,0,0,0.000004103
227,0,0.000000383,0.0000025
228,-0.000004627,0,0.000001949
229,0,-0.000001992,0.000001861
230,0,0.00000529,0.000001663
231,0,0,0.000005999
232,0,-0.000004181,0.000000741
233,0,0.000000154,0.000003534
234,0,0.000000392,-0.000003536
235,0.000004289,0,0.000005254
236,0,0,0.000006076
237,0,-0.000002531,0.000002709
238,0,0.000003258,-0.000004044
239,0,0,0.000004734
240,0,0,0.000004313
241,0,0,0.000000081
242,0,0,0.000004693
243,0,0,-0.000000866
301,0,0,0.00000049
302,0,0.000000458,0.000001253
303,0,-0.000001593,0.000001701
304,0,0.000010082,0.000001829
305,0,0.00000075,0.000001141
306,0,0,0.000008078
307,0,0,0.000000314
308,0,-0.000000439,0.000000908
309,0,0.000000217,0.000001967
310,0,-0.000006254,0.000002107
311,0,-0.000007035,0.000003754
312,0.000000701,0,0.00000588
313,0,0.000000037,-0.000000147
314,0,-0.000001128,0.000000406
315,0,0.000000026,0.000001593
316,0,0.000000452,0.000004874
317,0,0.000002045,0.000008069
318,0,0.00000227,0.000003586
319,0,0,0.00000406
320,0,-0.000001833,0.000000749
321,0,-0.000000647,0.000002575
322,0,0.000001798,0.00000068
323,0,0.000008102,0.000003164
324,0,-0.000001479,0.000002109
325,0,0,0.000004722
326,0,-0.00000308,-0.000001185
327,0,0.000009029,0.000004321
328,-0.000005378,0,0.000003355
329,0,-0.000002276,0.000001198
330,0,-0.000004662,0.000000215
331,0,0,0.000005829
332,0,0.000002509,0.000001561
333,0,-0.000009035,-0.000007295
334,0,0.000002376,-0.00000061
335,0.000005054,0,0.000005316
336,0,0,0.000007284
337,0,0.000000042,-0.000001947
338,0,0.000000271,0.000006768
339,0,0,0.000006744
340,0,0,0.000002456
341,0,0,0.00000095
342,0,0,-0.000000657
343,0,0,0.000000575
407,0,0,-0.000000298
408,0,0.000000721,-0.00000088
409,0,-0.00000144,-0.000001863
410,0,0.00000641,-0.000002023
411,0,0.000009187,-0.000002617
412,0.000000917,0,-0.000005996
414,0,0.000000418,-0.000000849
415,0,0.000000026,-0.000001855
416,0,0.000000959,-0.000003489
417,0,-0.000002296,-0.000008323
418,0,-0.000001238,-0.000004777
419,0,0,-0.000003673
420,0,0.000000791,-0.000000325
421,0,-0.000001729,-0.00000142
422,0,-0.000000736,-0.000002493
423,0,-0.00000598,-0.000004256
424,0,-0.00000009,-0.000001511
425,0,0,-0.000004965
427,0,0.000003146,-0.000001258
428,-0.000004404,0,-0.000001453
429,0,-0.000003098,-0.000000679
430,0,0.000004553,-0.000001345
431,0,0,-0.000005567
432,0,-0.000000337,0.000000475
433,0,-0.000005031,-0.000006056
434,0,0.000005182,0.000000306
435,0.000004448,0,-0.00000387
436,0,0,-0.000006656
437,0,-0.000000806,-0.000000618
438,0,0.000002209,0.000002228
439,0,0,0.000000058
440,0,0,-0.00000518
441,0,0,-0.000000341
442,0,0,-0.000003722
443,0,0,-0.000000416
