ID,YForce
102,-1.603187599
103,-9.024151483
104,37.90835013
105,-8.398932429
108,-0.84110228
109,4.125522073
110,-16.61077495
111,7.33493142
113,-0.27300271
114,-0.239425652
115,1.302153792
116,1.311859611
117,-4.201339707
118,-15.56197824
120,-2.857349939
121,-5.812375802
122,-2.54142004
123,4.336989801
124,11.06823644
126,-1.54980104
127,-5.621943739
129,-12.27430476
130,-12.25524492
132,7.835700681
133,-7.621853361
134,0.633406155
137,-30.68827173
138,18.73907728
208,-0.888323567
209,-2.520166794
210,10.40372855
211,2.101416187
214,-2.104264334
215,-2.036635843
217,-0.77069026
218,-0.024651639
219,8.194448539
220,-3.863679247
221,0.825572733
222,-0.983033141
223,-8.926043837
224,-16.07254962
227,3.268035314
229,13.96547241
230,22.56679224
232,-7.787665065
233,32.33899684
234,-17.72098818
237,32.42604617
238,-27.60199227
302,1.727094512
303,5.519576776
304,-24.82708434
305,5.134492141
308,0.201637884
309,-1.734292042
310,11.44093189
311,17.08926165
313,-1.832133716
314,-1.484466693
315,-1.034531339
316,-4.259873396
317,-1.980665013
318,-0.8541549
320,-0.442050189
321,1.846946526
322,2.23519767
323,-9.646277713
324,-7.421757587
326,5.313888926
327,-2.392446169
329,13.22204935
330,13.26900065
332,-3.053291532
333,16.12105655
334,-9.085785697
337,20.03959848
338,-19.36553921
408,-2.276618293
409,3.623954486
410,-16.06157036
411,-26.49925232
414,0.06793361
415,0.624630635
416,-2.635694504
417,3.621783822
418,-0.928782882
420,0.263514363
421,1.244630345
422,-3.83430717
423,14.22056276
424,6.149441034
427,-16.93858825
429,0.868030491
430,-22.43349829
432,1.629859541
433,11.37977602
434,-15.46921064
437,-21.86487535
438,7.441575439
